År;Land;Type;Antal
1983;Sverige;Ansøgere;3000
1983;Sverige;Bevilget;4000
1984;Danmark;Ansøgere;4312
1984;Danmark;Bevilget;1186
1984;Sverige;Ansøgere;12000
1984;Sverige;Bevilget;7000
1985;Danmark;Ansøgere;8698
1985;Danmark;Bevilget;6553
1985;Sverige;Ansøgere;14500
1985;Sverige;Bevilget;8500
1986;Danmark;Ansøgere;9299
1986;Danmark;Bevilget;7281
1986;Sverige;Ansøgere;14600
1986;Sverige;Bevilget;11486
1987;Danmark;Ansøgere;2726
1987;Danmark;Bevilget;4193
1987;Sverige;Ansøgere;18114
1987;Sverige;Bevilget;14042
1988;Danmark;Ansøgere;4668
1988;Danmark;Bevilget;3905
1988;Sverige;Ansøgere;19595
1988;Sverige;Bevilget;16125
1989;Danmark;Ansøgere;4588
1989;Danmark;Bevilget;4452
1989;Sverige;Ansøgere;30335
1989;Sverige;Bevilget;24879
1990;Danmark;Ansøgere;5292
1990;Danmark;Bevilget;3044
1990;Sverige;Ansøgere;29420
1990;Sverige;Bevilget;12839
1991;Danmark;Ansøgere;4609
1991;Danmark;Bevilget;4014
1991;Sverige;Ansøgere;27351
1991;Sverige;Bevilget;18663
1992;Danmark;Ansøgere;13884
1992;Danmark;Bevilget;3807
1992;Sverige;Ansøgere;84018
1992;Sverige;Bevilget;12791
1993;Danmark;Ansøgere;14347
1993;Danmark;Bevilget;3424
1993;Sverige;Ansøgere;37581
1993;Sverige;Bevilget;36482
1994;Danmark;Ansøgere;6651
1994;Danmark;Bevilget;2818
1994;Sverige;Ansøgere;18640
1994;Sverige;Bevilget;44875
1995;Danmark;Ansøgere;5104
1995;Danmark;Bevilget;20347
1995;Sverige;Ansøgere;9047
1995;Sverige;Bevilget;5642
1996;Danmark;Ansøgere;5893
1996;Danmark;Bevilget;8717
1996;Sverige;Ansøgere;5753
1996;Sverige;Bevilget;4832
1997;Danmark;Ansøgere;5092
1997;Danmark;Bevilget;5925
1997;Sverige;Ansøgere;9662
1997;Sverige;Bevilget;9596
1998;Danmark;Ansøgere;5702
1998;Danmark;Bevilget;4758
1998;Sverige;Ansøgere;12844
1998;Sverige;Bevilget;8193
1999;Danmark;Ansøgere;6530
1999;Danmark;Bevilget;4443
1999;Sverige;Ansøgere;11231
1999;Sverige;Bevilget;5597
2000;Danmark;Ansøgere;10347
2000;Danmark;Bevilget;5156
2000;Sverige;Ansøgere;16303
2000;Sverige;Bevilget;10546
