year,quadrant,plantation,plantation_standard,owner,owner_name_varients,owner_surname,owner_nationality,field_worker_male_adult,field_worker_female_adult,field_worker_male_teen,field_worker_female_teen,field_worker_male_child,field_worker_female_child,field_worker_incapable,maroons,house_worker_male,house_worker_female,artisan_worker,creole,african,total,married_couples,unmarried_couples,missing_men_adult,missing_female_adult,missing_men_child,missing_female_child,missing_total,animal_cattle_male,animal_cattle_female,animal_goats_sheep,animal_mules,animal_horses,acre_sugar,acre_provision,acre_fallow,acre_woodland,acre_cotton,acre_for_enslaved,acre_total,avg_harvest_sugar,avg_harvest_rum,avg_harvest_cotton,unused_acre_sugar,unused_acre_cotton,link
1792,Dronningens_Kvadrant,Judiths Fancy,,John Benners Arv,,Benner,Dutch,14,23,1,7,13,16,30,1,21,21,7,102,52,154,4,13,15,15,,,30,17,21,116,7,2,180,40,140,,,30,390,140,60,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,St. Johns,,John Heyliger Burt,,Heyliger,Dutch,35,44,26,11,12,7,31,,1,5,10,98,84,182,21,3,10,10,10,20,50,16,14,50,20,3,432,8,81,,,62,575,230,100,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Montpellier,,Charles Chabert Jr.,Charles Chabert & Joseph Black,Chabert,French,18,22,4,6,10,5,14,,1,1,5,54,32,86,,2,,,10,10,20,7,16,46,5,1,140,10,65,,,10,225,80,36,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Concordia,,Peter L. Oxholm,,Oxholm,Danish,29,28,16,4,8,6,17,3,3,13,18,72,73,145,4,15,10,20,10,10,50,12,15,124,19,19,200,20,150,50,,10,430,200,80,,100,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Windsor,,Charles Chabert Sen.,,Chabert,French,44,59,13,12,17,19,16,,1,14,15,130,80,210,,19,20,,10,,30,28,25,43,24,1,270,60,100,280,,42,900,100,40,,70,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Glynn,,James Johnsons Arv,James Johnstons Arv,Johnson,,37,44,3,4,12,8,8,,3,7,8,76,58,134,,25,20,30,20,30,100,16,10,30,24,3,184,40,76,,,15,300,250,100,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Morning Star,,William McDougall,,McDougall,Scottish,30,38,9,7,9,2,12,,1,2,9,75,44,119,,16,20,30,10,12,72,12,4,,8,1,185,10,48,,,10,295,180,80,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Rattan,,George Aitkin,,Aitkin,,48,48,12,13,10,13,10,,3,8,9,110,64,174,,29,20,24,10,6,60,20,7,80,15,2,244,25,75,10,,10,425,200,90,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Mary's Fancy,,Bertram Peter de Nullys Arv,Madame de Nully,de Nully,French,44,31,5,6,7,6,5,1,1,5,6,43,74,117,,,,,,,,7,2,41,30,,250,10,28,,,8,300,168,59,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Lime Tree,Limetree,Isaac Hartmann,Isaac Hartman,Hartmann,,25,17,4,2,3,1,12,1,4,6,2,33,44,77,,11,10,10,10,10,40,15,,,11,4,130,,,,,20,150,200,75,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
