year,quadrant,field_worker_male_adult,field_worker_female_adult,field_worker_male_teen,field_worker_female_teen,field_worker_male_child,field_worker_female_child,field_worker_incapable,maroons,house_worker_male,house_worker_female,artisan_worker,creole,african,total,married_couples,unmarried_couples,missing_men_adult,missing_female_adult,missing_men_child,missing_female_child,missing_total,animal_cattle_male,animal_cattle_female,animal_goats_sheep,animal_mules,animal_horses,acre_sugar,acre_provision,acre_fallow,acre_woodland,acre_cotton,acre_for_enslaved,acre_total,avg_harvest_sugar,avg_harvest_rum,avg_harvest_cotton,unused_acre_sugar,unused_acre_cotton,link
1792,Compagniets_Kvadrant,418,467,135,126,123,124,298,11,46,86,148,1247,735,1982,113,249,145,164,119,132,560,146,161,813,207,50,2769,216,"1731,5",215,10,"293,5",5266,1845,874,1200,290,240,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788325"
1792,Dronningens_Kvadrant,855,883,258,210,265,255,404,17,87,156,275,2094,1571,3665,100,396,240,316,228,251,1035,328,221,1029,428,64,5319,387,1516,340,10,473,8317,4864,2112,,240,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788325"
1792,Kongens_Kvadrant,539,487,142,139,129,125,290,13,65,110,147,1108,1078,2186,53,345,185,268,189,243,885,249,191,514,298,65,3774,187,762,110,,417,5260,3042,1371,,225,150,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788325"
1792,Nord_Side_B,223,183,65,61,45,45,93,6,31,43,33,368,460,828,10,90,128,140,111,151,530,59,71,290,133,24,1308,137,489,381,12,233,2624,770,364,1200,560,40,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788325"
1792,Prindsens_Kvadrant,837,758,224,174,211,204,349,29,62,123,216,1605,1582,3187,40,472,369,407,214,224,1214,336,232,863,507,108,5501,341,1226,150,,490,7662,3736,1712,,622,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788325"
1792,West_Ende,607,571,219,203,187,196,341,9,74,183,258,1584,1264,2848,38,317,177,205,213,287,882,247,158,962,338,122,3823,464,1472,175,,421,6398,1722,660,,620,65,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788325"
1792,Nord_Side_A,419,406,152,129,109,116,180,1,30,46,96,832,852,1684,4,261,142,183,115,196,636,138,81,368,306,49,2770,400,725,373,10,465,4743,1490,644,,855,20,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788325"
1792,Oost_Ende_A,345,295,81,55,84,67,92,6,34,96,44,543,656,1199,13,156,130,175,113,124,542,98,267,1234,118,66,1160,332,1630,856,1070,261,"5402,5",355,167,115100,195,984,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788325"
1792,Oost_Ende_B,154,121,38,34,45,43,35,4,19,44,5,343,199,542,,52,49,46,64,79,238,19,91,607,26,27,180,144,705,659,617,155,2660,60,30,110000,40,857,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788325"
1792,Total,4397,4171,1314,1131,1198,1175,2082,96,448,887,1222,9724,8397,18121,371,2338,1565,1904,1366,1687,6522,1620,1473,6680,2361,575,26604,2608,"10256,5",3259,1729,"3208,5","48332,5",17884,7934,227500,3647,2356,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788325"
