year,quadrant,cadaster,cadastre_fixed,plantation,plantation_standard,owner,total,male,female,native,african,christian,heathen,enslaved_field_worker,enslaved_house_worker,enslaved_artisan,enslaved_incapable,age_male_under_5,age_male_5_to_10,age_male_10_to_20,age_male_20_to_30,age_male_30_40,age_male_40_50,age_male_50_60,age_male_over_60,age_female_under_5,age_female_5_to_10,age_female_10_to_20,age_female_20_to_30,age_female_30_40,age_female_40_50,age_female_50_60,age_female_over_60,married_couples,married_kids,unmarried_couples,unmarried_kids,born_male,born_female,born_baptised_total,born_baptised_roman,born_baptised_english,born_baptised_brothers,born_baptised_danish,born_baptised_lutheran,born_baptised_catholic,interplanational_couple_male,interplanational_couple_female,dead_male_stillborn,dead_male_under_1,dead_male_1_to_5,dead_male_5_to_10,dead_male_10_to_20,dead_male_20_to_30,dead_male_over_30,dead_female_stillborn,dead_female_under_1,dead_female_1_to_5,dead_female_5_to_10,dead_female_10_to_20,dead_female_20_to_30,dead_female_over_30,dead_total,houses_enslaved,field_sugar_cultivation,field_sugar_uncultivated,field_sugar_provision,field_uncultivated,field_for_enslaved,field_total,children_male_enslaved_houseworker,children_female_enslaved_houseworker,enslaved_male_plantation_household,enslaved_female_plantation_household,enslaved_children_plantation_household,house_enslaved_highground,house_enslaved_lowground,enslaved_guardworker,enslaved_sugarproduction_worker,enslaved_cowherd,enslaved_caregiver,enslaved_total_in_field,link
1804,Dronningens_Kvadrant,1,,Judiths Fancy,,John Benners arv,177,73,104,122,55,147,30,108,36,11,22,8,8,16,13,7,12,6,3,10,9,14,29,12,25,5,,2,1,16,9,8,2,2,,,2,,,,6,29,3,4,,,,,,,1,,,,,1,9,79,"128,25",47,"48,5","167,5","2,25","393,5",7,8,1,2,,,79,4,14,5,2,54,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,2,,St. Johns,,John Heyliger [X],192,99,93,97,95,156,36,150,6,16,20,6,3,27,12,19,18,2,6,14,5,26,8,20,11,8,7,9,1,11,3,2,2,,,,,,,,2,,,1,,,,,5,,,,,2,,,8,54,337,60,52,106,20,575,,,2,3,,,,3,18,5,2,104,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,3,,Montpellier,,[X] Lillienschioldd,126,78,48,54,72,70,56,89,8,11,18,6,5,14,26,11,8,4,4,5,2,1,18,11,2,1,8,3,,14,1,,1,,,,,,,,13,13,,,,,,,4,,1,1,,,,,6,56,140,30,15,80,10,275,,,,,,,,7,8,4,1,60,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,8,,Concordia,,Samuel Forster,174,86,88,71,103,116,58,122,9,23,20,5,7,15,15,20,7,13,4,5,7,13,13,21,11,10,8,,,28,2,1,1,,,,,,,,19,15,1,,,,,,4,,,,,,2,,7,81,156,17,21,170,8,372,,,14,12,9,,,11,23,7,2,74,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,6;5,,Windsor,,C. T. Chaberts arv,158,80,78,114,44,141,17,135,2,9,12,10,10,9,28,7,1,10,5,11,6,15,15,11,6,2,12,2,,25,3,1,2,,,,,,,,1,,,,,,,2,,1,,,2,,,,5,50,160,40,14,26,10,250,,,3,7,1,50,,10,14,6,,50,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,7,,Glynn,,James Johnstons arv,126,60,66,71,55,96,30,110,5,6,5,5,6,6,19,9,6,8,3,7,3,6,21,8,7,9,3,21,1,,,1,,1,,,1,,,,,,,,,,,1,2,,,,,,,2,5,60,160,36,,94,10,300,1,,,,,,,1,16,3,1,71,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,9,,Morning Star,,William Mc Dougall,168,90,78,79,89,125,43,120,20,14,14,4,4,35,8,13,7,9,9,11,2,19,17,13,6,6,5,1,,21,3,1,2,3,,3,,,,,8,15,,,,,,,,,,,,1,,2,3,61,168,19,17,78,12,294,1,4,,,,,,3,30,3,1,71,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,16;17,,Harry's Fancy,,Madme M. Rengger,126,71,55,51,75,45,81,95,3,5,23,9,3,8,10,15,13,4,8,8,5,4,8,10,9,5,7,,,23,7,4,3,2,,,2,,,,9,9,,1,,,,1,1,,2,,,1,,1,7,56,193,50,12,40,5,300,,,,,,,,4,13,3,1,55,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,18,,Bonne Esperance,,Benners & Kenny,121,68,53,59,62,74,47,104,4,10,3,5,4,8,15,11,10,4,7,3,7,13,13,10,7,1,3,5,,16,4,2,2,,,,,,,,,1,,2,,,,1,,,1,,,,,,4,46,97,5,18,25,5,150,,2,,1,,,,4,21,2,1,50,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,19;20,,Limetree,Limetree,Isaac Hartmann,77,44,33,28,49,58,19,63,6,3,5,4,1,3,11,8,9,6,2,1,1,1,11,4,10,3,2,3,,11,2,2,,1,,,1,,,,1,1,2,,,,,,1,,,,,,,1,4,37,93,15,5,27,10,150,,,,,,,,3,8,2,1,41,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,21,,Diamond,,Colonel Oxholm,111,64,47,74,37,75,36,93,2,13,3,3,7,15,12,15,6,5,1,3,8,7,8,14,5,,2,4,1,16,1,2,,,,,,,,,,,,,1,1,2,,,2,,,,,,1,7,65,97,"17,5",6,"23,5",6,150,,,9,12,,,,2,15,2,1,49,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,22,,Sion Hill,,Madam Bradshaw,196,97,99,128,68,196,,134,29,15,18,6,12,5,26,24,10,14,,5,14,9,20,20,16,13,2,5,,15,3,1,2,3,3,,,,,,,,,,,1,,,,,,,,,,1,2,88,"187,5","7,75","20,75",74,10,300,,,2,,,,,5,14,3,2,112,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,7;25,,Constitution Hill,,Samuel Forstere,185,106,79,84,101,112,73,129,22,13,21,6,12,16,16,25,21,7,3,8,8,16,12,17,11,4,3,,,39,4,2,2,2,,,2,,,,1,,,,1,,,1,,,1,1,,,,,4,68,195,39,8,50,8,300,,3,3,4,,60,8,7,17,5,2,98,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,26;27,,Sion Farm,,[X] Tuite,296,151,145,231,65,288,8,189,26,34,47,16,25,17,18,22,19,18,16,11,17,21,18,23,19,17,19,12,1,74,12,10,3,,,,,,,,20,24,2,1,,1,,,6,,2,,,,,5,17,156,"248,5","66,5",6,"194,25","9,75",525,5,2,,,,116,40,12,28,7,2,27,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,28,,Ruby,,Oberst Oxholm,124,64,60,66,58,82,42,106,2,10,6,7,4,11,12,15,7,8,,7,7,8,15,7,3,9,4,4,,12,,,,,,,,,,,,,,,,,,,1,,,1,,,,,2,39,84,29,6,25,6,150,,,,,,,,2,15,3,1,57,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,29,,Straberry Hill,Strawberry Hill,Alex & J. Towers arv,125,69,56,69,56,113,12,114,2,9,,7,5,2,14,18,13,6,4,1,6,4,12,11,9,6,7,1,,20,1,1,,1,3,,,,,,,,,,,,,1,3,,,,,,,,4,50,"160,25","26,75",,31,7,225,2,,4,,,50,,7,12,4,2,100,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,30,,Lime Trees,,Samuel Newton,155,70,85,80,75,69,86,143,3,6,3,12,10,10,14,9,11,3,1,11,6,14,20,13,9,8,4,,,17,5,4,2,2,1,,1,,,,4,12,,,1,,1,1,,,,,,1,,,4,54,132,26,16,120,6,300,1,2,,,,,,6,8,2,2,81,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,32,,Cottage,,Charles Chabert,75,40,35,41,34,52,23,53,12,6,4,,2,2,15,10,5,5,1,,4,10,5,3,8,2,3,,,5,,,,,,,,,,,9,5,,,,,,,2,,,,,,,,2,37,85,16,,43,6,150,3,2,2,4,6,37,,,11,2,1,17,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,34,,Castle Coakly,Castle Coakley,J & E Coackleys arv,209,92,117,157,52,172,37,134,17,24,34,3,8,3,19,13,22,15,8,14,8,13,32,8,16,19,8,6,,25,1,1,3,,,,,,,,1,1,,1,,,,,3,,,2,,,,3,9,80,178,19,10,44,4,255,3,2,,,,,,6,15,6,2,106,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,35,,Peters Rest,,Peter De Nully,175,94,81,123,52,59,116,115,25,19,16,17,7,9,30,14,15,2,,16,6,12,14,19,6,8,,1,,16,7,4,3,,,,,,,,13,24,,1,2,,,,3,,1,2,,,2,,11,55,159,24,12,18,12,225,3,,2,1,,55,,6,22,4,4,16,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,37,,Work & Rest,,John Heyliger [X],182,99,83,123,59,82,100,143,4,18,17,11,11,14,20,9,21,8,4,10,12,13,10,12,15,6,6,3,,15,6,3,3,,,,,,,,,,5,,1,1,,1,2,,,,,,1,1,11,110,285,70,17,80,13,465,,,1,7,5,110,,7,14,4,3,143,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,38;43;48;51,,Pearl,,William Armstrong,133,63,70,62,71,41,92,106,5,12,10,9,6,3,13,22,4,3,4,5,,5,23,18,5,7,6,3,1,17,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,2,35,220,20,15,100,5,360,,,1,3,,,35,3,8,4,1,73,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,40,,Jerusalem & Figtree Hill,,John De Wint & Rantzau,144,71,73,77,67,138,6,109,15,10,10,3,9,10,10,12,17,6,4,1,3,6,16,12,18,13,4,8,1,12,,1,,1,,,1,,,,,4,,,1,,1,1,,,,,,,1,,4,80,160,35,15,117,8,335,,1,,1,,,,4,15,5,3,54,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,31;42,,The Hope,Hope,Madam M. Turnbull,155,81,74,109,46,87,68,128,3,8,16,7,7,21,10,4,10,6,16,5,4,9,19,9,7,9,12,,,17,1,1,2,1,,,2,,,,13,20,,,,,,2,3,,,,,,,2,7,89,132,22,16,39,16,225,,,,,,,,6,26,3,4,40,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,44,,Humbug,,John Heyliger [X],108,51,57,45,63,23,85,100,2,3,3,7,4,13,11,6,6,4,,9,5,3,20,9,5,6,,1,,10,2,2,,,,,,,,,,,4,,1,,,1,,,,,,,,1,7,45,80,20,,40,10,150,,,3,5,,45,,3,12,2,2,89,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,45;46;47,,Cane Garden,,Peter Mc Evoy,115,61,54,58,57,114,1,91,4,8,12,6,6,7,16,13,6,6,1,5,4,5,20,7,3,3,7,6,6,8,2,,2,2,2,,,,,,3,4,,,,,,1,,,,,,,1,,2,52,170,,10,56,6,242,,,,1,,,,6,23,3,1,36,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,49,,Cassava Garden,,Byfoged Winding,57,31,26,25,32,21,36,48,2,5,2,4,3,3,,19,,2,,4,2,,6,10,1,2,1,,,12,5,1,4,,,,,,,,,1,,1,,,,,1,,1,,,,,1,4,25,41,3,15,14,2,75,,1,,,,,,1,3,2,1,32,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Dronningens_Kvadrant,13;14,,Ration & Belvidera,,George Aitkin,163,71,92,125,38,128,35,134,12,9,8,9,2,3,20,14,11,6,6,9,11,5,24,12,15,10,6,2,,26,5,2,3,,,,,,,,13,26,,,,,,,3,,1,,,,,3,7,82,240,47,20,28,5,340,3,3,,,,,,4,12,2,1,84,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788178"
1804,Prindsens_Kvadrant,5,,Hard Labour,,Gilbert Wooard,71,44,27,23,48,31,40,57,2,3,9,2,4,13,8,12,3,1,1,2,4,5,3,9,1,1,2,,,5,1,,1,1,,,1,,,,9,5,,,,,,,1,,,,,,,1,2,26,70,20,10,46,4,150,,,,1,2,26,,3,6,2,2,57,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788180"
1804,Prindsens_Kvadrant,6,,The Two Friends,Two Friends,George B. Kelly,135,70,65,70,65,123,12,99,11,10,15,9,11,9,10,15,6,4,6,8,9,9,18,8,3,7,3,7,,19,5,3,2,,,,,,,,9,6,,1,,,,,,,,,,,1,,2,50,105,30,2,11,2,150,1,3,,,,,,5,13,2,1,41,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788180"
1804,Prindsens_Kvadrant,,,Montpellier,,John O. Fevalls arv,157,79,78,102,55,153,4,91,33,15,18,7,5,11,18,16,12,6,4,6,7,12,20,14,8,6,5,6,1,13,2,2,1,,,,,,,,2,,,,,,,,,,,,,,,1,1,60,104,12,15,15,4,150,,,,,,60,,8,7,6,2,59,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788180"
