Year of arrival at port of disembarkation,Voyage ID,Vessel name,Flag of vessel,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Voyage itinerary first place of slave landing (sla1port) ,Voyage itinerary second place of slave landing (adpsale1) ,Total disembarked,Captain's name
1771,17768,Venus,Great Britain,"Windward Coast, place unspecified",St. Croix,"St. Kitts, port unspecified",St. Croix,174,"Lewis, Thomas"
1767,36351,Royal Charlotte,U.S.A.,Anomabu,St. Croix,St. Croix,"Rhode Island, port unspecified",95,"Taylor, Wm<br/> Pinnigar, William"
1798,11408,,,,St. Croix,St. Croix,,291,Elsler
1797,26061,Mariella Huldah,U.S.A.,"Africa, port unspecified",St. Croix,St. Croix,,126,Clough
1802,26063,Horatio,U.S.A.,"Africa, port unspecified",St. Croix,,,126,
1758,27051,Hulst,Great Britain,"Africa, port unspecified",St. Croix,St. Croix,,208,Dickington
1760,24507,Cron Printz Christian,Denmark / Baltic,"Africa, port unspecified",St. Croix,St. Croix,,166,"Anker, Jens"
1760,24513,Argo,Great Britain,"Africa, port unspecified",St. Croix,St. Croix,,208,Thompson
1769,24663,Dove,Great Britain,Iles de Los,St. Croix,St. Croix,,96,Hudson
1770,24666,Eleonora,Denmark / Baltic,"Gold Coast, port unspecified",St. Croix,St. Croix,,176,Thadsen
1759,25059,Fanny,Great Britain,Cape Coast Castle,St. Croix,St. Croix,,146,"McNamara, Wm"
1766,25239,Neptune,U.S.A.,"Africa, port unspecified",St. Croix,St. Croix,,126,"Gwinn, Peter (a) Gwyn"
1765,25354,Nancy,U.S.A.,"Africa, port unspecified",St. Croix,,,49,Perry
1796,25357,Lady Walterstorff,U.S.A.,"Africa, port unspecified",St. Croix,St. Croix,,122,
1786,35042,Christiansborg,Denmark / Baltic,"Gold Coast, port unspecified",St. Croix,St. Croix,,406,"Berg, Jens Jensen"
1789,35049,Fredensborg,Denmark / Baltic,Danish Gold Coast,St. Croix,St. Croix,,287,Berg
1762,35166,Cron Printzens Ønske,Denmark / Baltic,Christiansborg,St. Croix,St. Croix,,299,
1759,35173,Jomfru Catharina,Denmark / Baltic,Christiansborg,St. Croix,St. Croix,,190,
1759,35174,St Brigitte (a) St Birgitte,Denmark / Baltic,Christiansborg,St. Croix,St. Croix,,293,
1760,35175,Debora(h),Denmark / Baltic,Christiansborg,St. Croix,St. Croix,,197,"Mørch, B (a) Mørck, B"
1760,35176,Friderichs Haab,Denmark / Baltic,Christiansborg,St. Croix,St. Croix,,324,"Hiørring, L"
1761,35177,Jaegersborg,Denmark / Baltic,Christiansborg,St. Croix,St. Croix,,287,
1768,35180,Eleonora,Denmark / Baltic,Christiansborg,St. Croix,St. Croix,,159,Thadsen
1768,35181,Fredensborg,Denmark / Baltic,"Gold Coast, port unspecified",St. Croix,St. Croix,,235,"Kionig, Espen<br/> Ferentz, Johan Frantzen"
1793,35194,Gregers Juul,Denmark / Baltic,Christiansborg,St. Croix,St. Croix,,311,Hammer
1802,35200,Martha Magdalene,Denmark / Baltic,Christiansborg,St. Croix,St. Croix,,125,Peterson
1794,35202,Hertug Ferdinand,Denmark / Baltic,Christiansborg,St. Croix,St. Croix,,266,
1795,35203,Gregers Juul,Denmark / Baltic,Christiansborg,St. Croix,St. Croix,,266,Scandorph
1796,35204,Jomfrue Anna Maria,Denmark / Baltic,Christiansborg,St. Croix,St. Croix,,292,
1796,35221,Nancy,Denmark / Baltic,"Africa, port unspecified",St. Croix,St. Croix,,100,
1798,35232,Kongen af Asante,Denmark / Baltic,"Africa, port unspecified",St. Croix,St. Croix,,309,
1797,35233,Bien,Denmark / Baltic,Christiansborg,St. Croix,St. Croix,,57,
1799,35234,Norge,Denmark / Baltic,Gorée,St. Croix,St. Croix,,35,
1800,35245,Kongen af Asante,Denmark / Baltic,"Africa, port unspecified",St. Croix,St. Croix,,143,
1781,35251,Eleonora,Denmark / Baltic,Elmina,St. Croix,St. Croix,,138,Fingast
